text,category
film row over pirates  cannibals  plans to portray dominica s carib indians as cannibals in the sequel to hit film pirates of the caribbean have been criticised by the group s chief.  carib chief charles williams said talks with disney s producers revealed there was  a strong element of cannibalism in the script which cannot be removed . the caribbean island s government said disney planned to film in dominica. the caribs have long denied their ancestors practised cannibalism. disney was unavailable for comment.  our ancestors stood up against early european conquerors and because they stood up...we were labelled savages and cannibals up to today   said mr williams.   this cannot be perpetuated in movies.  shooting on the sequel is expected to begin in april  with hundreds of dominicans applying to be extras in the movie.  about 3 000 caribs live on the island of dominica  which has a population of 70 000. many caribs were killed by disease and war during colonisation up to the 1600s. mr williams said he had received support from indigenous groups around the world in his efforts to have cannibalism references removed from the film. but he admitted there were some members of the carib council who did not support the campaign. he said some did not  understand our history  they are weak and are not committed to the cause of the carib people . the first pirates of the caribbean film took $305m (Â£162m) at the box office in the us alone. the cast and crew are to work on two sequels back-to-back  with the first to be released in 2006.,entertainment
businesses fail to plan for hiv companies fail to draw up plans to cope with hiv/aids until it affects 20% of people in a country  new research says.  the finding comes in a report published on thursday by the world economic forum  harvard and the un aids agency.  too few companies are responding proactively to the social and business threats   said dr kate taylor  head of the wef s global health initiative. nearly 9 000 business leaders in 104 countries were surveyed for business and hiv/aids: commitment and action   dr taylor described the level of action taken by businesses as revealed by the report as  too little  too late . the issue will be highlighted to business and world leaders at the world economic forum  which meets in davos  switzerland  next week. the wef report shows that despite the fact that 14 000 people contract hiv/aids every day  concern among businesses has dropped by 23% in the last 12 months. most (71%) have no policies in place to address the disease. nor could over 65% of the business leaders surveyed say or estimate the prevalence of hiv among their staff. the un programme tackling aids  unaids  pointed out that having a clear strategy for dealing with hiv/aids was a good investment as well as being socially responsible.  one company that does have a plan is anglo-american  the international mining company  which estimates an hiv prevalence of 24% among its 130 000-strong southern african workforce.  over the last two years the company has implemented extensive voluntary counselling and testing for hiv infection  coupled with anti-retroviral therapy for employees progressing to aids. over 90% of the 2 200 employees who have accessed and remained on treatment are well and have returned to normal work.  effective action on hiv/aids is synonymous with good business management and leads to more profitable and sustainable operations   said brian brink  senior vice-president  health  at anglo-american.   companies should encourage all workers to know their hiv status  making it as routine as monitoring blood pressure or cholesterol   he said.  providing access to treatment is a critical part of this.  across sub-saharan africa  even in countries with an hiv prevalence of 10-19%  only around 7% of companies have formal hiv/aids policies in place  according to the report. the gap is even wider in china  ethiopia  india  nigeria and russia  the so-called  next wave  countries  which are predicted to experience the highest numbers of new hiv/aids cases worldwide by 2010. the report adds  an important building block to our understanding of how the business community is experiencing the hiv/aids epidemic and to whether and how it is reacting   said david bloom  professor of economics and demography at the harvard school of public health.  the wef report concludes that businesses need to understand their exposure to hiv/aids risks and come up with good local practices to manage them. a key priority  in both high and low-prevalence settings  said the wef is to establish a policy based on non-discrimination and confidentiality.,business
qpr keeper day heads for preston queens park rangers keeper chris day is set to join preston on a month s loan.  day has been displaced by the arrival of simon royce  who is in his second month on loan from charlton. qpr have also signed italian generoso rossi. r s manager ian holloway said:  some might say it s a risk as he can t be recalled during that month and simon royce can now be recalled by charlton.  but i have other irons in the fire. i have had a  yes  from a couple of others should i need them.   day s rangers contract expires in the summer. meanwhile  holloway is hoping to complete the signing of middlesbrough defender andy davies - either permanently or again on loan - before saturday s match at ipswich. davies impressed during a recent loan spell at loftus road. holloway is also chasing bristol city midfielder tom doherty.,sport
lib dems demand new inquiry a judge should look into the david blunkett controversy as key questions remain unanswered  the lib dems say.  sir alan budd s inquiry linked the ex-home secretary to the speeding up of a visa claim by his ex-lover s nanny. but he could not say whether mr blunkett had treated the nanny as a special case or had used her as an example of immigration problems. lib dem spokesman mark oaten said the number of officials who had forgotten what happened was worrying. he told bbc news:  i m extremely concerned that 20 individuals appear to have forgotten what happened or more suspiciously are not prepared to say what happened.  that must be bad for government  it must be bad for public confidence in the system.   mr oaten said people would be mystified why sir alan s inquiry failed to uncover why processing of the visa application was speeded up. he said:  there is a strong case for a judge-led judicial review of this because  of course  next time it happens it may not be about a nanny and their visa. it may be about something even more important than that.  so we do need to understand what took place and who was involved.  the tories criticised the lib dem stance  saying mr oaten had initially said he accepted mr blunkett s word unless further evidence emerged. but lib dem officials say mr oaten was speaking when an inquiry was under way and was avoiding rushing to judgement.,politics
talks aim to avert pension strike talks aimed at averting a series of national strikes over pensions reforms will take place this weekend.  five public sector unions will hold private talks with deputy prime minister john prescott at labour s spring conference in gateshead. they want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65. up to 1.4m workers could take part in a strike already earmarked for 23 march. however  all sides are anxious to avoid a major confrontation in the run up to the general election  said bbc labour affairs correspondent stephen cape. in four days  britain s biggest union unison will start balloting 800 000 local government workers on strikes. other public sector unions have pledged to follow. it is just weeks before new regulations are introduced to raise the pension age of local government workers.  the five unions meeting mr prescott want the government to withdraw these regulations. this would allow months of tough negotiations to follow  said our correspondent. but a spokesman for mr prescott warned that the changes to the local government pension scheme would have to go ahead in april. privately ministers believe this will be the  less painful  option  our correspondent added. the public and commercial services union (pcs) will co-ordinate any industrial action with up to six other public sector unions. pcs leader mark serwotka warned last week that there could be further walkouts unless there was a government rethink.  for a government that lectures everyone on choice - choice on public service  choice on this and choice on that - isn t it ironic that they re saying to public sector workers there is no choice   he said.  if you want the pension you were promised when you started you must work for an extra five years - that is working until people drop.  in the 20th century  it s completely unacceptable.   unison s 800 000 workers  the transport and general workers  union s 70 000 and amicus  20 000 are among those being balloted about a 23 march walkout. mr prescott held a private meeting with senior union figures last week. it is understood no deal was offered in that meeting but there was room for further negotiations.,politics
hodgson relishes european clashes former blackburn boss roy hodgson says the premiership should follow the rest of europe and have a winter break - but insists that a gruelling domestic schedule will not damage the english elite s bid for champions league glory.  hodgson - now in charge at viking stavanger - was at liverpool s clash with bayer leverkusen at anfield on tuesday as a member of uefa s technical committee. hodgson is a fierce advocate of the winter break employed throughout europe  although not in england - where the champions league contenders have ploughed through a heavy fixture list. but hodgson told bbc sport that while he believes the premiership should embrace the idea  he does not expect it to cost the english representatives in the last 16 of the champions league.  i just feel it is very difficult to say with certainty that teams who have had the break will have a definite edge.  i am a fervent supporter of the break. it gives players the chance to recharge their batteries midway through the season  which some suggest will give teams an advantage in the champions league.  the other school of thought suggests having a break then coming back to it puts you at a disadvantage.  the bigger discussions around the winter break should be to do with the nature of football today  the needs of football players and the way the premiership has developed  rather than one or two matches in the champions league in february.  hodgson believes a winter break carries many advantages  explaining:  as i said  it is the perfect chance to recharge batteries.   and certainly if i was still a manager in england i would be supporting any calls for its introduction.  in pre-season you get a lot of enthusiasm and energy but by the time you get towards christmas many players  having also played plenty of international matches for club and country and travelled a lot  find themselves getting very jaded.  the break gives them a chance to recover that energy and enthusiasm and  perhaps more importantly  recover their mental strength during the break and get ready for the games ahead.  the mental side is by far the most important thing.  hodgson added:  the length of breaks can vary. in italy the break was very short. you just took christmas and new year.  it was so short you didn t do anything. you gave the players a week or 10 days off  then you were training for a week or 10 days and then went into a game.  if it is longer  it is important those responsible for physical fitness give the players a programme to follow to ensure the physical strength they have accumulated stays with them.  and hodgson believes a winter break would be a positive step in the premiership. he said:  if we talk about football at elite level  which the premiership is  then i would support a winter break.  if you examine the demands of the premier league and  in particular on players who play international football for their club and country  then a break would do them the world of good - physically and mentally.,sport
uganda bans vagina monologues uganda s authorities have banned the play the vagina monologues  due to open in the capital  kampala this weekend.  the ugandan media council said the performance would not be put on as it promoted and glorified acts such as lesbianism and homosexuality. it said the production could go ahead if the organisers  expunge all the offending parts . but the organisers of the play say it raises awareness of sexual abuse against women.  the play promotes illegal  unnatural sexual acts  homosexuality and prostitution  it should be and is hereby banned   the council s ruling said.  the show  which has been a controversial sell-out around the world  explores female sexuality and strength through individual women telling their stories through monologues. some parliamentarians and church leaders are also siding with the media council  uganda s new vision newspaper reports.  the play is obscene and pornographic although it was under the guise of women s liberation   mp kefa ssempgani told parliament.  but the work s author  us playwright eve ensler  says it is all about women s empowerment.  there is obviously some fear of the vagina and saying the word vagina   ms ensler told the bbc.  it s not a slang word or dirty word it s a biological  anatomical word.  she said the play is being produced and performed by ugandan women and it is not being forced on them. the four ugandan ngos organising the play intended to raise money to campaign to stop violence against women and to raise funds for the war-torn north of the country.  i m extremely outraged at the hypocrisy   the play s organiser in uganda  sarah mukasa  told the bbc s focus on africa programme.  i m amazed that this country uganda gives the impression that it is progressive and supports women s rights and the notions of free speech; yet when women want to share their stories the government uses the apparatus of state to shut us up.,entertainment
research fears over kelly s views scientists have expressed concerns that new education secretary ruth kelly s religious views could hamper vital scientific research.  ms kelly  who is catholic  is reported to be  pro-life  and has opposed embryo research. medical research council professor nancy rothwell said ms kelly s views mattered as she was responsible for training future scientists. the department for education and skills would not comment on the concerns.  a spokeswoman said:  it is not news that ms kelly is a catholic but we are not going into any details on this.  but she added that claims ms kelly was in charge of a Â£1bn university research budget were not true. it was down to the higher education funding council and the research councils to decide on universities  research allocations. british law is open to the cloning of human embryos to create stem cells  master cells that can develop into all the body s tissue types. this cloning activity is not permitted for reproductive purposes - only for research into new disease treatments. however  it is controversial because it involves the destruction of embryos.  professor rothwell  who is also vice-president of research at manchester university  told the times higher education supplement it would worry her  a great deal  if ministers were anti-stem cell. she said:  the views of ministers in the dfes do matter as they are responsible for training the next generation of scientists.  you can t have a higher education policy that is at odds with the government s science policy.  head of developmental genetics at the national institute of medical research  professor robin lovell-badge  said he had witnessed the confused situation in the us where many religious groups opposed the practice. he said:  if someone as senior as ruth kelly is not going to favour stem cell research we will end up with a similarly schizophrenic system in this country. it is very worrying.  but fertility expert lord winston said he thought it was  rather good  ministers held ethical views. concerns have also been raised by  pro-choice  organisations that ms kelly s views might affect sex education policy in schools.  family planning association chief executive  anne weyman  said teaching pupils about contraception and abortion were key.  young people must be informed about all the issues within sexual health  which include contraception and abortion.  i think it is very important that the government maintains its commitment to the teenage pregnancy strategy.  currently  individual schools devise their own sex education policies based on a framework provided by the dfes. ms kelly has not set out her detailed views on either issue yet  but has said she intends to put parents first in education policy. this would include the quality of teaching  classroom discipline and academic standards in schools  she said.,politics
italy 8-38 wales wales secured their first away win in the rbs six nations for nearly four years with a six-try victory in rome.  tries from jonathan thomas  tom shanklin and martyn williams gave the visitors a 19-5 half-time advantage. luciano orquera did reply with one for italy but second-half efforts from brent cockbain  shane williams and robert sidoli sealed victory. fly-half stephen jones added four conversions as wales maintained their superb start to this year s tournament. starting full of confidence after their victory over england  the visitors scored the opening try after just four minutes. diminutive wing shane williams fielded a kick ahead and danced past the onrushing andrea masi and aaron persico into the italian half. his pass to tom shanklin appeared forward but when the centre was held up short  the ball was switched left and michael owen s long cut-out pass gave the lurking thomas an easy run-in.  stephen jones  who retained the kicking duties despite gavin henson s heroics against england  slotted an excellent conversion from wide out. wales twice threatened further scores but failed to find the crucial pass  and italy hit back out of the blue in the 11th minute.  henson  sporting gold boots rather than the silver variety that did for england  beat two players with ease out on the left touchline. but his attempted chip ahead was charged down by orquera  who snaffled the loose ball and hared away from halfway to score in the right corner. with the welsh line-out stuttering and italy twice turning the visitors  scrum  the home side s forward power brought them back into it. but a clever high kick from henson almost brought a try for hal luscombe when roland de marigny and ludovico nitoglia made a hash of claiming it as the ball bounced into touch.  wales regained control with a second try in the 21st minute  henson lobbing up a high kick to the left corner where shanklin jumped higher than nitoglia to dot down his 15th test try. jones was unable to convert and de marigny then hit the upright with a penalty attempt for italy. henson was also narrowly short with a long-range effort at goal  but wales ended the half with a vital third score to give themselves some breathing space.  henson sent luscombe streaking away and when he off-loaded to martyn williams  the flanker showed his nous to ground the ball against the padding of the post  jones adding the conversion. italy  who lost flanker mauro bergamasco with a head knock before half-time  built up a head of steam on the resumption. de marigny landed a penalty to make it 19-8 and a nitoglia break through the middle threatened a try only for the move to break down with a knock-on. but wales put the outcome beyond doubt with two superb tries in four minutes before the hour. their fourth after 53 minutes was sparked by another mazy run from shane williams  who beat several players with ease  and finished with a powerful angled run from lock cockbain. before italy could recover from that blow  a strong surge from gareth thomas and great off-loads from martyn williams and replacement kevin morgan saw shane williams scamper over.  with jones converting both for a 33-8 lead  wales had the luxury of sending on five more replacements for the final quarter. the icing on the cake came with a sixth try after more superb support work  shane williams and ceri sweeney combining to send sidoli over in the left corner. the only downside for wales was a hamstring injury suffered by luscombe. but after back-to-back wins at the start of the tournament for the first time in 11 years  they will travel to paris in a fortnight looking like genuine contenders.  r de marigny; mirco bergamasco  w pozzebon  a masi  l nitoglia; l orquera  a troncon; a lo cicero  f ongaro  m castrogiovanni  s dellape  m bortolami (capt)  a persico  mauro bergamasco  s parisse.  g intoppa  s perugini  ca del fava  d dal maso  p griffen  m barbini  kp robertson.  g thomas (capt); h luscombe  t shanklin  g henson  s williams; s jones  d peel; g jenkins  m davies  a jones; b cockbain  r sidoli; j thomas  m williams  m owen.  r mcbryde  j yapp  i gough  r sowden-taylor  g cooper  c sweeney  k morgan.  andrew cole (australia).,sport
bbc  should allow more scrutiny  mps have urged the bbc to give watchdogs more freedom to scrutinise how Â£2bn in licence fee money is spent.  the public accounts committee called for the national audit office to be given a  free hand  to investigate how the bbc offers value for money. although six areas are to be opened up to scrutiny the audit office should have more power to choose what it investigated  the mps said. the call was made in a report into the bbc s freeview digital service.  our aim is not to rewrite the storyline of eastenders but simply to ensure that the bbc is as accountable to parliament as any other organisation spending public money   said the committee chairman  mp edward leigh.  the bbc s spending is not subject to the full independent scrutiny  and accountability to parliament.  parliament requires television owners to pay a licence fee and expects the comptroller and auditor general  on behalf of parliament  to be able to scrutinise how that money  over Â£2 billion a year  is used.   a bbc spokeswoman said:  we share the committee s interest in ensuring the public money we receive is spent well. though in its infancy  we think the arrangements with the nao are working well and should be given time to mature.  the report said the freeview digital service has had an  impressive  take up since its launch but the bbc must still dispel confusion about the service. the committee found the bbc had succeeded in ensuring subscription-free access to digital channels following the collapse of itv digital in 2002. but the fact that one in four homes could not access freeview remained a problem.  the report said that while gaps in the coverage were largely due to landscape issues  there was need for detailed explanations on the freeview website and on promotional literature as to why it was not available in specific areas. the government has proposed switch off of the analogue television signal  with 2012 the most recently proposed date. the bbc launched freeview in 2002 as an alternative to satellite subscription services such as sky  to allow its digital channels such as bbc three and news 24 to be seen. there have been an estimated five million freeview set-top boxes sold since the launch and prices have fallen considerably. the corporation plans to spend up to Â£138m on freeview before 2014 to ensure people can receive the service throughout the uk  and are aware of it.,entertainment
uk s national gallery in the pink the national gallery  home to some of the uk s greatest artworks  has seen a big jump in visitor numbers.  five million visitors made the london gallery - which houses treasures like raphael s madonna of the pinks - the uk s most visited museum in 2004. it recorded a 13.8% rise in numbers and was the country s second most visited tourist attraction  behind blackpool pleasure beach. charles saumarez smith  the gallery s director  said he was  delighted . he said the number of visitors through the doors had boosted figures to pre-11 september 2001 levels. mr saumarez smith added that the pedestrianisation of trafalgar square  where the gallery is located  and strong temporary collections throughout 2004 had led to the strong performance.   our 2004 exhibition programme of el greco  russian landscape in the age of tolstoy and raphael: from urbino to rome was particularly strong and exceeded all targets   he said.  the exceptional quality of the paintings in our permanent collection is also huge draw for the public.  the expectations of today s visitors are higher than ever and we have kept pace with their demands.  mr saumarez smith said he was confident the gallery could maintain the attendance.  with important exhibitions of the work of caravaggio  stubbs and rubens in place for 2005  i am confident that the gallery is set for another highly successful year   he added. the figures were prepared by the association of leading visitor attractions (alva).  it found that the figures had been boosted by an increase in europeans travelling to the uk on budget airlines. popular cultural tourist spots such as the tate modern and the natural history museum all recorded increases of more than 10% in visitor numbers compared with 2003. but for legal or confidentiality reasons some alva members did not submit figures for 2004  including buckingham palace  windsor castle  madame tussauds and alton towers. alva director robin broke said:  visits from western europe were up by 10% and from north america by some 9% compared to 2003  while numbers from the rest of the world rose 20%.  european figures were helped by the rapid growth of low-cost flights to britain from europe  especially from new eu countries.,entertainment
